
Observation dimension: 9
Action feature dimension: 32
Agent initialized on cuda. Starting training...

Ep    1/2000 | Steps:  28 | Util: 0.312 | WUtil: 0.000 | Items: 28/51 | MA50: 0.312 | Best: 0.312 | ε: 0.999 | Loss: 0.0000
Ep   10/2000 | Steps:  28 | Util: 0.263 | WUtil: 0.000 | Items: 28/51 | MA50: 0.279 | Best: 0.315 | ε: 0.995 | Loss: 0.0000
Ep   20/2000 | Steps:  29 | Util: 0.282 | WUtil: 0.000 | Items: 29/51 | MA50: 0.280 | Best: 0.331 | ε: 0.989 | Loss: 0.0044
Ep   30/2000 | Steps:  27 | Util: 0.278 | WUtil: 0.000 | Items: 27/51 | MA50: 0.277 | Best: 0.331 | ε: 0.984 | Loss: 0.0018
Ep   40/2000 | Steps:  28 | Util: 0.305 | WUtil: 0.000 | Items: 28/51 | MA50: 0.279 | Best: 0.377 | ε: 0.979 | Loss: 0.0006
Ep   50/2000 | Steps:  26 | Util: 0.279 | WUtil: 0.000 | Items: 26/51 | MA50: 0.280 | Best: 0.377 | ε: 0.974 | Loss: 0.0005
Ep   60/2000 | Steps:  26 | Util: 0.274 | WUtil: 0.000 | Items: 26/51 | MA50: 0.279 | Best: 0.377 | ε: 0.969 | Loss: 0.0001
Ep   70/2000 | Steps:  25 | Util: 0.269 | WUtil: 0.000 | Items: 25/51 | MA50: 0.281 | Best: 0.377 | ε: 0.964 | Loss: 0.0001
Ep   80/2000 | Steps:  24 | Util: 0.269 | WUtil: 0.000 | Items: 24/51 | MA50: 0.287 | Best: 0.377 | ε: 0.959 | Loss: 0.0002
Ep   90/2000 | Steps:  29 | Util: 0.290 | WUtil: 0.000 | Items: 29/51 | MA50: 0.288 | Best: 0.377 | ε: 0.953 | Loss: 0.0001
Ep  100/2000 | Steps:  27 | Util: 0.279 | WUtil: 0.000 | Items: 27/51 | MA50: 0.289 | Best: 0.377 | ε: 0.948 | Loss: 0.0001
Ep  110/2000 | Steps:  26 | Util: 0.293 | WUtil: 0.000 | Items: 26/51 | MA50: 0.293 | Best: 0.377 | ε: 0.943 | Loss: 0.0001
Ep  120/2000 | Steps:  26 | Util: 0.269 | WUtil: 0.000 | Items: 26/51 | MA50: 0.295 | Best: 0.377 | ε: 0.937 | Loss: 0.0001
Ep  130/2000 | Steps:  25 | Util: 0.303 | WUtil: 0.000 | Items: 25/51 | MA50: 0.296 | Best: 0.377 | ε: 0.932 | Loss: 0.0001
Ep  140/2000 | Steps:  27 | Util: 0.314 | WUtil: 0.000 | Items: 27/51 | MA50: 0.297 | Best: 0.399 | ε: 0.927 | Loss: 0.0001
Ep  150/2000 | Steps:  30 | Util: 0.337 | WUtil: 0.000 | Items: 30/51 | MA50: 0.298 | Best: 0.399 | ε: 0.922 | Loss: 0.0001
Ep  160/2000 | Steps:  25 | Util: 0.273 | WUtil: 0.000 | Items: 25/51 | MA50: 0.298 | Best: 0.399 | ε: 0.916 | Loss: 0.0001
Ep  170/2000 | Steps:  29 | Util: 0.278 | WUtil: 0.000 | Items: 29/51 | MA50: 0.299 | Best: 0.399 | ε: 0.911 | Loss: 0.0002
Ep  180/2000 | Steps:  29 | Util: 0.302 | WUtil: 0.000 | Items: 29/51 | MA50: 0.304 | Best: 0.399 | ε: 0.905 | Loss: 0.0002
Ep  190/2000 | Steps:  26 | Util: 0.323 | WUtil: 0.000 | Items: 26/51 | MA50: 0.309 | Best: 0.399 | ε: 0.900 | Loss: 0.0002
Ep  200/2000 | Steps:  27 | Util: 0.311 | WUtil: 0.000 | Items: 27/51 | MA50: 0.311 | Best: 0.399 | ε: 0.895 | Loss: 0.0002
Ep  210/2000 | Steps:  28 | Util: 0.314 | WUtil: 0.000 | Items: 28/51 | MA50: 0.316 | Best: 0.399 | ε: 0.889 | Loss: 0.0002
Ep  220/2000 | Steps:  30 | Util: 0.328 | WUtil: 0.000 | Items: 30/51 | MA50: 0.317 | Best: 0.399 | ε: 0.884 | Loss: 0.0002
Ep  230/2000 | Steps:  30 | Util: 0.371 | WUtil: 0.000 | Items: 30/51 | MA50: 0.314 | Best: 0.399 | ε: 0.879 | Loss: 0.0002
Ep  240/2000 | Steps:  27 | Util: 0.294 | WUtil: 0.000 | Items: 27/51 | MA50: 0.315 | Best: 0.399 | ε: 0.873 | Loss: 0.0002
Ep  250/2000 | Steps:  27 | Util: 0.295 | WUtil: 0.000 | Items: 27/51 | MA50: 0.319 | Best: 0.399 | ε: 0.868 | Loss: 0.0002
Ep  260/2000 | Steps:  33 | Util: 0.386 | WUtil: 0.000 | Items: 33/51 | MA50: 0.322 | Best: 0.399 | ε: 0.862 | Loss: 0.0002
Ep  270/2000 | Steps:  27 | Util: 0.349 | WUtil: 0.000 | Items: 27/51 | MA50: 0.325 | Best: 0.399 | ε: 0.857 | Loss: 0.0002
Ep  280/2000 | Steps:  26 | Util: 0.294 | WUtil: 0.000 | Items: 26/51 | MA50: 0.326 | Best: 0.399 | ε: 0.851 | Loss: 0.0002
Ep  290/2000 | Steps:  29 | Util: 0.270 | WUtil: 0.000 | Items: 29/51 | MA50: 0.322 | Best: 0.399 | ε: 0.846 | Loss: 0.0002
Ep  300/2000 | Steps:  29 | Util: 0.366 | WUtil: 0.000 | Items: 29/51 | MA50: 0.327 | Best: 0.399 | ε: 0.840 | Loss: 0.0002
Ep  310/2000 | Steps:  29 | Util: 0.301 | WUtil: 0.000 | Items: 29/51 | MA50: 0.322 | Best: 0.399 | ε: 0.835 | Loss: 0.0002
Ep  320/2000 | Steps:  32 | Util: 0.361 | WUtil: 0.000 | Items: 32/51 | MA50: 0.328 | Best: 0.399 | ε: 0.829 | Loss: 0.0002
Ep  330/2000 | Steps:  29 | Util: 0.318 | WUtil: 0.000 | Items: 29/51 | MA50: 0.327 | Best: 0.399 | ε: 0.824 | Loss: 0.0002
Ep  340/2000 | Steps:  30 | Util: 0.361 | WUtil: 0.000 | Items: 30/51 | MA50: 0.330 | Best: 0.399 | ε: 0.819 | Loss: 0.0002
Ep  350/2000 | Steps:  31 | Util: 0.328 | WUtil: 0.000 | Items: 31/51 | MA50: 0.328 | Best: 0.399 | ε: 0.813 | Loss: 0.0002
Ep  360/2000 | Steps:  28 | Util: 0.339 | WUtil: 0.000 | Items: 28/51 | MA50: 0.331 | Best: 0.402 | ε: 0.807 | Loss: 0.0002
Ep  370/2000 | Steps:  29 | Util: 0.364 | WUtil: 0.000 | Items: 29/51 | MA50: 0.329 | Best: 0.402 | ε: 0.802 | Loss: 0.0002
